Temperature,Humidity,PM25,PM 10,Lat,Long
25.52,39.9,0,0,0,0
25.52,39.9,0,0,0,0
25.52,39.9,0,0,0,0
25.52,39.9,0,0,0,0
25.52,39.9,0,0,0,0
25.52,39.9,0,0,0,0
25.52,39.9,0,0,0,0
25.53,39.9,0,0,0,0
25.53,39.9,0,0,0,0
25.52,39.9,0,0,0,0
25.53,39.9,0,0,0,0
25.53,39.9,0,0,0,0
25.52,39.9,0,0,0,0
25.52,39.9,0,0,0,0
25.52,39.9,0.2,0.5,0,0
25.53,39.9,0.2,0.5,0,0
25.52,39.9,0.2,0.5,0,0
25.53,39.9,0.2,0.5,0,0
25.52,39.9,0.2,0.5,0,0
25.53,39.9,0.2,0.5,0,0
25.53,39.9,0.2,0.5,0,0
25.52,39.9,0.2,0.5,0,0
36.07,33.15,0,0,0,0
36.07,33.15,1.3,5.1,0,0
36.08,33.15,1.3,5.1,0,0
36.08,33.15,1.3,5.1,0,0
36.07,33.15,1.3,5.1,0,0
36.08,33.15,3.1,6.1,0,0
36.07,33.15,3.1,6.1,0,0
36.07,33.15,3.1,6.1,0,0
36.07,33.15,3.1,6.1,0,0
36.08,33.15,3,6,0,0
36.11,33.15,3,6,0,0
36.07,33.15,3,6,0,0
36.08,33.15,3,6,0,0
36.12,33.15,3,6,0,0
36.12,33.15,3,7.7,0,0
36.11,33.15,3,7.7,0,0
36.12,33.15,3,7.7,0,0
36.12,33.15,2.7,9.7,0,0
36.14,33.15,2.7,9.7,0,0
36.15,33.06,2.7,9.7,0,0
36.15,33.06,2.7,9.2,0,0
36.17,33.06,2.7,9.2,0,0
36.17,33.06,2.7,9.2,0,0
36.17,33.06,2.7,9.2,0,0
36.19,33.06,2.7,10.2,0,0
36.2,33.04,2.7,10.2,0,0
36.21,33.04,2.7,10.2,0,0
36.21,32.94,2.7,10.2,0,0
36.23,32.94,2.6,9.3,0,0
36.21,32.94,2.6,9.3,0,0
36.21,32.94,2.6,9.3,0,0
36.21,32.94,2.6,9.3,0,0
36.24,32.94,2.5,9.5,0,0
36.24,32.94,2.5,9.5,0,0
36.26,32.94,2.5,9.5,0,0
36.27,32.94,2.5,9.5,0,0
36.24,32.94,2.5,9.5,0,0
36.27,32.84,2.4,9,0,0
36.27,32.84,2.4,9,0,0
36.27,32.84,2.4,9,0,0
36.27,32.84,2.4,9,0,0
36.29,32.84,2.6,9.5,0,0
36.27,32.84,2.6,9.5,0,0
36.29,32.84,2.6,9.5,0,0
36.27,32.84,2.6,9.5,0,0
36.27,32.84,2.6,9.1,0,0
36.29,32.84,2.6,9.1,0,0
36.27,32.75,2.6,9.1,0,0
36.29,32.75,2.6,9.1,0,0
36.29,32.75,2.6,8.7,0,0
36.29,32.75,2.6,8.7,0,0
36.29,32.75,2.6,8.7,0,0
36.27,32.75,2.6,8.7,0,0
36.27,32.75,2.6,8.7,0,0
36.27,32.65,2.6,8.5,0,0
36.26,32.65,2.6,8.5,0,0
36.27,32.65,2.6,8.5,0,0
36.27,32.55,2.6,8.5,0,0
36.27,32.55,2.5,8.2,0,0
36.26,32.55,2.5,8.2,0,0
36.26,32.55,2.5,8.2,0,0
36.24,32.55,2.5,8.2,0,0
36.24,32.55,2.6,8,0,0
36.23,32.45,2.6,8,0,0
36.23,32.45,2.6,8,0,0
36.23,32.45,2.6,8,0,0
36.24,32.45,2.7,8.1,0,0
36.23,32.45,2.7,8.1,0,0
36.23,32.35,2.7,8.1,0,0
36.23,32.35,2.7,8.1,0,0
36.21,32.35,2.7,8.1,0,0
36.21,32.35,2.6,8,0,0
36.23,32.35,2.6,8,0,0
36.23,32.35,2.6,8,0,0
36.23,32.35,2.6,8,0,0
36.23,32.26,2.7,8.1,0,0
36.21,32.26,2.7,8.1,0,0
36.24,32.26,2.7,8.1,0,0
36.23,32.26,2.7,8.1,0,0
36.23,32.26,2.8,8.7,0,0
36.24,32.26,2.8,8.7,0,0
36.26,32.17,2.8,8.7,0,0
36.24,32.17,2.8,8.7,0,0
36.26,32.17,2.7,8.5,0,0
36.26,32.17,2.7,8.5,0,0
36.27,32.17,2.7,8.5,0,0
36.27,32.17,2.7,8.5,0,0
36.27,32.17,2.7,8.5,0,0
36.27,32.17,2.7,8.9,0,0
36.29,32.07,2.7,8.9,0,0
36.3,32.07,2.7,8.9,0,0
36.3,32.07,2.7,8.9,0,0
36.31,32.07,2.7,8.9,0,0
36.31,32.07,2.7,8.9,0,0
36.33,32.07,2.7,8.9,0,0
36.35,32.07,2.7,8.9,0,0
36.36,32.07,2.8,9,0,0
36.36,32.07,2.8,9,0,0
36.38,32.07,2.8,9,0,0
36.38,32.07,2.8,9,0,0
36.41,32.07,2.9,8.9,0,0
36.39,32.07,2.9,8.9,0,0
36.42,32.07,2.9,8.9,0,0
36.42,32.07,2.9,8.9,0,0
36.42,31.97,2.9,8.9,0,0
36.43,32.05,2.9,8.8,0,0
36.46,32.05,2.9,8.8,0,0
36.48,32.05,2.9,8.8,0,0
36.49,31.95,2.9,8.8,0,0
36.51,32.05,3,9,0,0
36.49,31.95,3,9,0,0
36.51,31.95,3,9,0,0
36.51,31.95,3,9,0,0
36.52,31.95,3,8.9,0,0
36.52,31.95,3,8.9,0,0
36.54,31.95,3,8.9,0,0
36.56,31.95,3,8.9,0,0
36.57,31.95,3,8.8,0,0
36.58,31.95,3,8.8,0,0
36.58,31.95,3,8.8,0,0
36.61,31.95,3,8.8,0,0
36.6,31.95,3,8.6,0,0
36.61,31.95,3,8.6,0,0
36.63,31.95,3,8.6,0,0
36.64,31.95,3,8.6,0,0
36.64,31.95,3,8.6,0,0
36.65,31.95,3,9.6,0,0
36.65,31.95,3,9.6,0,0
36.67,31.95,3,9.6,0,0
36.68,31.95,3,9.6,0,0
36.7,31.95,2.9,12.7,0,0
36.72,31.94,2.9,12.7,0,0
36.72,31.94,2.9,12.7,0,0
36.73,31.94,2.9,12.7,0,0
36.73,31.94,2.9,12.7,0,0
36.75,31.94,2.9,12.7,0,0
36.75,32.04,2.9,12.7,0,0
36.76,32.04,2.9,12.7,0,0
36.79,32.04,2.9,12.4,0,0
36.79,32.04,2.9,12.4,0,0
36.8,32.04,2.9,12.4,0,0
36.83,32.04,2.9,12.4,0,0
36.83,32.04,2.9,12.4,0,0
36.85,32.04,3,12.2,0,0
36.83,32.04,3,12.2,0,0
36.85,32.04,3,12.2,0,0
36.87,32.04,3,12.2,0,0
36.9,32.13,2.9,12.2,0,0
36.91,32.13,2.9,12.2,0,0
36.92,32.13,2.9,12.2,0,0
36.92,32.13,2.9,12.2,0,0
36.92,32.13,3,11.8,0,0
36.95,32.13,3,11.8,0,0
36.95,32.13,3,11.8,0,0
36.97,32.12,3,11.8,0,0
36.98,32.12,3,12.4,0,0
36.98,32.12,3,12.4,0,0
37.01,32.12,3,12.4,0,0
37.02,32.21,3,12.4,0,0
37.02,32.21,3,12.4,0,0
37.05,32.21,3.3,12.4,0,0
37.05,32.21,3.3,12.4,0,0
37.07,32.21,3.3,12.4,0,0
37.1,32.21,3.3,12.4,0,0
37.1,32.21,3.3,12.9,0,0
37.1,32.21,3.3,12.9,0,0
37.12,32.21,3.3,12.9,0,0
37.12,32.21,3.3,12.9,0,0
37.14,32.21,3.2,13.3,0,0
37.16,32.21,3.2,13.3,0,0
37.16,32.31,3.2,13.3,0,0
37.17,32.31,3.2,13.3,0,0
37.17,32.31,3.3,13.4,0,0
37.19,32.31,3.3,13.4,0,0
37.21,32.29,3.3,13.4,0,0
37.23,32.29,3.3,13.4,0,0
37.24,32.29,3.3,13.4,0,0
37.23,32.29,3.3,13.7,0,0
37.26,32.29,3.3,13.7,0,0
37.28,32.29,3.3,13.7,0,0
37.29,32.29,3.3,13.7,0,0
37.29,32.29,3.4,14.6,0,0
37.31,32.29,3.4,14.6,0,0
37.32,32.29,3.4,14.6,0,0
37.33,32.29,3.4,14.6,0,0
37.35,32.29,3.4,14.7,0,0
37.35,32.29,3.4,14.7,0,0
37.36,32.29,3.4,14.7,0,0
37.38,32.29,3.4,14.7,0,0
37.39,32.29,3.4,15,0,0
37.41,32.29,3.4,15,0,0
37.41,32.29,3.4,15,0,0
37.43,32.39,3.4,15,0,0
37.42,32.29,3.4,15.2,0,0
37.43,32.28,3.4,15.2,0,0
37.47,32.28,3.4,15.2,0,0
37.47,32.28,3.4,15.2,0,0
37.48,32.37,3.4,15.2,0,0
37.48,32.37,3.4,16.1,0,0
37.51,32.37,3.4,16.1,0,0
37.55,32.28,3.4,16.1,0,0
37.55,32.37,3.4,16.1,0,0
37.55,32.37,3.4,16,0,0
37.58,32.37,3.4,16,0,0
37.59,32.28,3.4,16,0,0
37.61,32.37,3.4,16,0,0
37.61,32.37,3.4,15.8,0,0
37.61,32.37,3.4,15.8,0,0
37.62,32.37,3.4,15.8,0,0
37.66,32.28,3.4,15.8,0,0
37.64,32.37,3.5,16.1,0,0
37.67,32.37,3.5,16.1,0,0
37.68,32.28,3.5,16.1,0,0
37.7,32.28,3.5,16.1,0,0
37.71,32.37,3.5,16.1,0,0
37.73,32.28,3.5,15.7,0,0
37.74,32.26,3.5,15.7,0,0
37.74,32.26,3.5,15.7,0,0
37.76,32.26,3.5,15.7,0,0
37.77,32.36,3.4,15.5,0,0
37.77,32.26,3.4,15.5,0,0
37.78,32.26,3.4,15.5,0,0
37.81,32.26,3.4,15.5,0,0
37.8,32.26,3.4,15.5,0,0
37.81,32.26,3.4,15.5,0,0
37.83,32.26,3.4,15.5,0,0
37.85,32.26,3.4,15.5,0,0
37.88,32.26,3.4,15.6,0,0
37.88,32.26,3.4,15.6,0,0
37.88,32.26,3.4,15.6,0,0
37.9,32.26,3.4,15.6,0,0
37.9,32.26,3.4,15.6,0,0
37.92,32.26,3.5,15.7,0,0
37.93,32.26,3.5,15.7,0,0
37.95,32.26,3.5,15.7,0,0
37.98,32.24,3.5,15.7,0,0
37.96,32.24,3.4,15.6,0,0
37.98,32.24,3.4,15.6,0,0
38.01,32.24,3.4,15.6,0,0
38.01,32.24,3.4,15.6,0,0
38.03,32.24,3.4,16.3,0,0
38.04,32.24,3.4,16.3,0,0
38.04,32.24,3.4,16.3,0,0
38.07,32.24,3.4,16.3,0,0
38.08,32.24,3.4,16.9,0,0
38.08,32.24,3.4,16.9,0,0
38.08,32.15,3.4,16.9,0,0
38.11,32.24,3.4,16.9,0,0
38.11,32.15,3.4,16.9,0,0
38.12,32.15,3.5,17.8,0,0
38.14,32.15,3.5,17.8,0,0
38.15,32.15,3.5,17.8,0,0
38.17,32.15,3.5,17.8,0,0
38.2,32.15,3.4,17.6,0,0
38.2,32.15,3.4,17.6,0,0
38.22,32.15,3.4,17.6,0,0
38.23,32.14,3.4,17.6,0,0
