Temperature,Humidity,Fine Particles 2.5,Lat,Long,Speed
27.05,40.82,0,0,0,0
27.03,40.72,0.6,0,0,0
27.03,40.72,0.6,0,0,0
27.05,41.02,0.5,0,0,0
27.1,41.52,0.7,0,0,0
27.1,42.11,1,0,0,0
27.77,42.14,1.3,0,0,0
27.13,41.71,0,0,0,0
27.08,42.11,2,0,0,0
27.05,42.5,2.7,0,0,0
27.11,42.8,3,0,0,0
27.14,43.2,3.3,0,0,0
27.14,43.38,3.3,0,0,0
27.11,43.6,3,0,0,0
27.17,43.77,3.1,0,0,0
27.17,43.67,3.3,0,0,0
27.15,43.57,3.8,0,0,0
27.06,43.4,3.8,0,0,0
26.99,43.2,3.7,0,0,0
26.93,42.9,3.3,0,0,0
26.77,42.63,3,0,0,0
26.77,42.63,2.9,0,0,0
26.71,42.52,11.3,: 0.00,: 0.00,: 0.00
26.69,42.52,12.5,: 0.00,: 0.00,: 0.00
26.71,42.43,12.5,: 0.00,: 0.00,: 0.00
26.55,42.15,5,0,0,0
26.43,41.97,4.3,0,0,0
26.25,41.67,3.9,0,0,0
26.18,41.2,3.6,0,0,0
26.02,40.8,3.6,0,0,0
25.86,40.42,3.4,0,0,0
25.81,40.33,3.9,0,0,0
25.69,40.24,3.4,0,0,0
25.32,40.16,3.4,0,0,0
25.13,40.18,3.1,0,0,0
25.02,40.18,3.5,0,0,0
24.91,40.1,3.7,0,0,0
24.69,39.92,4,0,0,0
24.58,39.72,3.7,0,0,0
24.45,39.64,3.7,0,0,0
24.43,39.74,4.8,0,0,0
24.32,39.64,5.5,0,0,0
24.27,39.74,5.2,0,0,0
24.27,39.74,4.2,0,0,0
24.33,39.74,3.6,0,0,0
24.23,39.76,3.5,0,0,0
24.09,39.76,3.4,0,0,0
23.99,39.78,3.3,0,0,0
23.95,39.78,3.4,0,0,0
23.88,39.68,3.6,0,0,0
23.83,39.68,3.8,0,0,0
23.74,39.6,3.9,0,0,0
23.64,39.6,4.2,0,0,0
23.62,39.6,4.4,0,0,0
23.43,39.62,4.3,0,0,0
23.27,39.74,3.8,0,0,0
23.15,39.74,3.8,0,0,0
23.2,39.84,3.8,0,0,0
23.23,39.94,3.6,0,0,0
23.28,40.04,3.1,0,0,0
23.27,40.04,2.8,0,0,0
23.21,40.14,2.9,0,0,0
23.15,40.23,3.4,0,0,0
23.12,40.34,3.5,0,0,0
23,40.36,3.7,0,0,0
22.88,40.36,3.6,0,0,0
22.83,40.47,3.6,0,0,0
22.75,40.47,3.5,0,0,0
22.7,40.47,3.7,0,0,0
22.63,40.5,4,0,0,0
22.48,40.5,4.1,0,0,0
22.46,40.59,4.1,0,0,0
22.44,40.59,4.1,0,0,0
22.4,40.59,3.9,0,0,0
22.46,40.69,3.8,0,0,0
22.6,40.69,3.3,0,0,0
22.58,40.8,3.4,0,0,0
22.57,40.89,3.5,0,0,0
22.53,40.99,3.7,0,0,0
22.51,41.09,4.1,0,0,0
22.51,41.09,4,0,0,0
22.51,41.19,4,0,0,0
22.5,41.3,3.6,0,0,0
22.4,41.31,3.7,0,0,0
22.39,41.52,4.1,0,0,0
22.4,41.6,4,0,0,0
22.46,41.6,3.6,0,0,0
22.5,41.69,3.1,0,0,0
22.53,41.8,3.2,0,0,0
22.58,41.89,3.6,0,0,0
22.68,41.88,4.5,0,0,0
22.7,41.88,4.7,0,0,0
22.79,41.97,4.4,0,0,0
22.84,42.07,3.8,0,0,0
22.85,42.18,3.7,0,0,0
22.9,42.25,4,0,0,0
23,42.35,3.5,0,0,0
23.1,42.43,3,0,0,0
23.2,42.54,3.3,0,0,0
23.34,42.61,3.6,0,0,0
23.43,42.81,3.9,0,0,0
23.51,43.01,3.7,0,0,0
23.58,43.01,3.4,0,0,0
23.58,43.01,3.3,0,0,0
23.62,42.89,3.6,0,0,0
23.64,42.89,4,0,0,0
23.69,42.89,4.1,0,0,0
23.68,42.89,3.7,0,0,0
23.61,42.99,3.4,0,0,0
23.64,42.89,3.4,0,0,0
23.69,42.79,3.3,0,0,0
23.68,42.69,3.5,0,0,0
23.65,42.59,3.5,0,0,0
23.59,42.49,4.3,0,0,0
23.54,42.32,4.2,0,0,0
23.54,42.21,4.2,0,0,0
23.51,42.11,3.8,0,0,0
23.49,42.02,3.8,0,0,0
23.46,41.91,4.1,0,0,0
23.44,41.91,3.9,0,0,0
23.35,41.82,3.9,0,0,0
23.24,41.74,3.8,0,0,0
23.09,41.74,3.4,0,0,0
22.99,41.75,3.4,0,0,0
22.94,41.75,3.4,0,0,0
22.88,41.75,3.6,0,0,0
22.78,41.67,3.7,0,0,0
22.73,41.67,4,0,0,0
22.7,41.67,4.2,0,0,0
22.75,41.58,3.9,0,0,0
22.72,41.58,4,0,0,0
22.72,41.58,4,0,0,0
22.65,41.6,4.3,0,0,0
22.63,41.6,4.2,0,0,0
22.7,41.58,4,0,0,0
22.78,41.58,3.6,0,0,0
22.85,41.58,3.5,0,0,0
22.87,41.66,3.6,0,0,0
22.95,41.75,3.6,0,0,0
23.03,41.85,3.7,0,0,0
23.03,42.15,3.7,0,0,0
23.13,42.33,3.7,0,0,0
23.24,42.43,4,0,0,0
23.27,42.43,4.4,0,0,0
23.32,42.33,4.4,0,0,0
23.41,42.32,4.3,0,0,0
23.5,42.32,3.7,0,0,0
23.62,42.49,3.8,0,0,0
23.53,42.61,3.7,0,0,0
23.47,42.71,4.1,0,0,0
23.47,42.71,4,0,0,0
23.5,42.61,3.9,0,0,0
23.46,42.61,3.8,0,0,0
23.4,42.51,3.9,0,0,0
23.4,42.32,3.7,0,0,0
23.41,42.21,3.8,0,0,0
23.41,42.11,3.6,0,0,0
23.34,42.02,3.5,0,0,0
23.27,41.83,3.6,0,0,0
23.34,41.71,3.9,0,0,0
23.37,41.71,3.8,0,0,0
23.46,41.82,3.5,0,0,0
23.56,41.82,3,0,0,0
23.56,41.91,3.2,0,0,0
23.59,41.99,3.2,0,0,0
23.77,42.19,3.4,0,0,0
23.96,42.47,3.2,0,0,0
24.23,42.75,2.9,0,0,0
24.46,42.93,3,0,0,0
24.6,43.01,3.2,0,0,0
24.8,43.08,3.9,0,0,0
24.98,43.19,3.4,0,0,0
25.14,43.16,3.7,0,0,0
25.31,43.05,3.4,0,0,0
25.46,43.05,3.3,0,0,0
25.57,43.02,3,0,0,0
25.62,43.02,2.9,0,0,0
25.73,43.01,3.2,0,0,0
25.81,43.01,3.3,0,0,0
25.9,43.1,3.2,0,0,0
25.88,43.1,3.5,0,0,0
25.98,42.99,3.7,0,0,0
26.02,42.88,3.8,0,0,0
26.16,42.79,3.6,0,0,0
26.47,42.85,3.4,0,0,0
26.76,42.82,3,0,0,0
27.03,42.9,3.2,0,0,0
27.18,43.08,3.6,0,0,0
27.29,43.28,3.9,0,0,0
27.42,43.06,3.8,0,0,0
27.71,42.94,3.3,0,0,0
27.8,42.84,3.3,0,0,0
28.04,42.82,3.6,0,0,0
28.25,42.7,3.7,0,0,0
28.51,42.48,3.4,0,0,0
28.67,42.26,3,0,0,0
28.79,41.87,3.2,0,0,0
29.27,41.43,4.8,0,0,0
29.07,40.96,4.8,0,0,0
28.91,40.47,4.4,0,0,0
28.85,39.79,2.5,0,0,0
28.77,39,2,0,0,0
28.7,38.41,1.9,0,0,0
28.69,38.02,2.1,0,0,0
28.66,37.62,1.7,0,0,0
28.63,37.32,1.4,0,0,0
28.62,37.15,0.7,0,0,0
28.59,36.95,0.6,0,0,0
28.59,36.75,0.6,0,0,0
28.54,36.55,0.6,0,0,0
28.51,36.36,0.5,0,0,0
28.48,36.25,0.3,0,0,0
28.47,36.16,0.3,0,0,0
28.41,35.96,0.3,0,0,0
28.36,35.86,0.3,0,0,0
28.32,35.88,0.3,0,0,0
28.27,35.78,0.3,0,0,0
28.23,35.78,0.3,0,0,0
28.18,35.68,0.3,0,0,0
28.15,35.68,0.3,0,0,0
28.1,35.7,0.3,0,0,0
28.07,35.7,0.3,0,0,0
28.03,35.7,0.3,0,0,0
38.26,34.99,0,0,0,0
37.48,34.27,68.3,: 0.00,: 0.00,: 0.00
36.95,33.72,39,: 0.00,: 0.00,: 0.00
36.27,33.36,22.8,: 0.00,: 0.00,: 0.00
35.64,33.12,3.6,0,0,0
35.14,32.86,3.4,0,0,0
34.32,32.42,0,0,0,0
33.97,32.45,4.5,0,0,0
34.36,32.52,4,0,0,0
34.13,32.92,3.8,0,0,0
33.53,32.95,3.6,0,0,0
33.1,32.89,3.4,0,0,0
32.81,32.71,3.5,0,0,0
32.55,32.43,3.3,0,0,0
32.25,32.27,3.2,0,0,0
31.87,32.09,3,0,0,0
31.47,31.82,3.3,0,0,0
31.03,31.76,3.4,0,0,0
30.83,31.76,4.1,0,0,0
30.51,31.88,4.2,0,0,0
30.47,31.88,4.4,0,0,0
30.54,32.08,3.9,0,0,0
30.64,31.87,5.7,0,0,0
31.6,31.71,5.9,0,0,0
32.58,32.23,5.8,0,0,0
33.46,33.46,4.2,0,0,0
34.29,34.18,4.2,0,0,0
35.08,34.32,4.3,0,0,0
35.55,33.9,4.1,0,0,0
34.56,33.87,4.2,0,0,0
34.01,33.43,3.9,0,0,0
33.46,32.58,4,0,0,0
33.26,34.83,3.9,0,0,0
31.74,40.74,4.3,0,0,0
31.55,38.58,4.8,0,0,0
31.36,36.44,4.9,0,0,0
30.83,34.9,5.3,0,0,0
30.4,34.15,3.8,0,0,0
29.97,33.69,3.1,0,0,0
29.57,33.42,2.1,0,0,0
29.13,33.15,2.7,0,0,0
28.75,32.98,2.7,0,0,0
28.5,33.09,2.3,0,0,0
28.22,33.11,1.7,0,0,0
27.9,33.13,2.1,0,0,0
27.67,33.14,2.3,0,0,0
27.3,33.17,2.2,0,0,0
26.98,33.19,1.9,0,0,0
26.61,33.33,2,0,0,0
26.28,33.44,2.1,0,0,0
26.19,33.64,2.4,0,0,0
26.08,33.95,2.6,0,0,0
25.84,34.27,2.7,0,0,0
25.86,34.36,6.6,0,0,0
25.84,34.56,9.2,0,0,0
25.72,35.16,11.4,: 0.00,: 0.00,: 0.00
25.73,35.46,8.8,0,0,0
25.66,35.87,6.9,0,0,0
25.69,36.17,5.7,0,0,0
25.66,36.36,19.3,: 0.00,: 0.00,: 0.00
25.56,36.47,25.5,: 0.00,: 0.00,: 0.00
25.41,36.58,27.9,: 0.00,: 0.00,: 0.00
